Time,Quadrant,Color,Type
48.36666666666667,1,red,Exit
48.4,1,red,Exit
48.4,2,blue,Exit
48.43333333333333,1,red,Entry
48.46666666666667,2,red,Exit
48.53333333333333,2,red,Exit
48.63333333333333,1,red,Exit
48.666666666666664,1,red,Entry
48.733333333333334,1,red,Exit
48.766666666666666,1,red,Exit
48.8,1,red,Exit
48.833333333333336,1,red,Exit
48.833333333333336,2,blue,Entry
48.86666666666667,1,red,Exit
48.9,2,yellow,Entry
48.93333333333333,4,yellow,Exit
48.96666666666667,1,red,Exit
48.96666666666667,4,yellow,Exit
49.0,2,red,Exit
49.0,4,yellow,Exit
49.03333333333333,4,yellow,Exit
49.06666666666667,4,yellow,Exit
49.1,4,yellow,Exit
49.13333333333333,4,yellow,Exit
49.166666666666664,4,yellow,Exit
49.3,2,blue,Exit
50.06666666666667,3,red,Entry
50.1,4,red,Exit
50.13333333333333,4,red,Exit
50.166666666666664,4,red,Exit
50.2,4,red,Exit
50.233333333333334,4,red,Exit
50.266666666666666,2,red,Entry
50.3,4,red,Exit
50.333333333333336,4,red,Exit
50.43333333333333,3,red,Exit
50.53333333333333,1,red,Entry
50.56666666666667,2,red,Exit
50.6,3,red,Exit
50.63333333333333,3,red,Exit
50.7,3,red,Exit
50.733333333333334,2,red,Exit
50.766666666666666,3,red,Exit
50.86666666666667,3,red,Entry
51.1,3,red,Exit
51.166666666666664,3,red,Exit
51.266666666666666,3,red,Exit
51.333333333333336,2,red,Entry
51.36666666666667,3,red,Entry
51.4,1,red,Exit
51.43333333333333,1,red,Exit
51.5,1,red,Exit
51.6,1,red,Exit
51.733333333333334,4,red,Entry
51.766666666666666,1,red,Exit
51.8,2,red,Exit
51.833333333333336,1,red,Exit
51.86666666666667,1,red,Exit
51.9,3,red,Exit
51.93333333333333,2,red,Exit
51.96666666666667,3,red,Exit
52.0,3,red,Exit
53.4,2,blue,Entry
53.46666666666667,4,blue,Exit
53.53333333333333,4,blue,Exit
53.666666666666664,4,blue,Exit
53.8,4,blue,Exit
54.46666666666667,4,blue,Exit
54.5,4,blue,Exit
54.53333333333333,4,blue,Exit
54.56666666666667,4,blue,Exit
55.43333333333333,4,green,Entry
55.46666666666667,2,green,Exit
56.56666666666667,4,blue,Entry
56.7,2,red,Entry
57.0,2,red,Exit
57.333333333333336,2,green,Entry
57.36666666666667,2,blue,Exit
57.4,4,green,Exit
57.96666666666667,2,blue,Exit
60.1,2,blue,Entry
60.13333333333333,4,blue,Exit
60.166666666666664,4,blue,Exit
60.86666666666667,4,blue,Entry
62.8,2,blue,Exit
63.06666666666667,2,blue,Exit
63.766666666666666,2,blue,Exit
64.16666666666667,2,blue,Exit
64.2,2,blue,Exit
64.23333333333333,2,blue,Exit
64.26666666666667,1,red,Entry
64.26666666666667,2,blue,Exit
64.3,4,red,Exit
64.3,2,blue,Exit
64.33333333333333,2,red,Entry
64.36666666666666,3,red,Entry
64.4,4,red,Exit
64.43333333333334,4,red,Exit
64.46666666666667,4,red,Exit
64.5,4,red,Exit
64.56666666666666,4,red,Entry
64.6,1,red,Exit
64.63333333333334,2,red,Exit
64.66666666666667,3,red,Exit
64.7,3,red,Exit
64.73333333333333,3,red,Exit
64.76666666666667,3,red,Exit
64.8,3,red,Exit
65.1,1,red,Entry
65.13333333333334,4,red,Exit
65.16666666666667,4,red,Exit
65.2,3,red,Entry
65.26666666666667,4,red,Exit
65.3,2,red,Entry
65.33333333333333,4,red,Exit
65.36666666666666,4,red,Exit
65.4,1,red,Exit
65.46666666666667,1,red,Exit
65.5,4,red,Entry
65.56666666666666,3,red,Exit
65.6,2,red,Exit
65.63333333333334,2,red,Exit
65.66666666666667,1,red,Exit
65.7,3,red,Exit
65.73333333333333,1,red,Exit
65.76666666666667,2,red,Exit
65.93333333333334,1,red,Entry
65.96666666666667,4,red,Exit
66.0,4,red,Exit
66.03333333333333,3,red,Entry
66.06666666666666,2,red,Entry
66.1,4,red,Exit
66.13333333333334,4,red,Exit
66.16666666666667,4,red,Exit
66.26666666666667,1,red,Exit
66.3,4,red,Entry
66.33333333333333,3,red,Exit
66.36666666666666,2,red,Exit
66.4,2,red,Entry
66.43333333333334,2,red,Exit
66.46666666666667,3,red,Exit
66.53333333333333,1,red,Exit
66.56666666666666,2,red,Exit
66.7,2,red,Exit
66.7,1,yellow,Entry
66.86666666666666,4,yellow,Entry
66.96666666666667,3,red,Entry
67.0,4,red,Exit
67.03333333333333,1,red,Entry
67.06666666666666,4,red,Exit
67.1,4,red,Exit
67.13333333333334,4,red,Exit
67.16666666666667,4,red,Exit
67.2,4,red,Exit
67.23333333333333,4,red,Exit
67.3,2,blue,Entry
67.4,3,red,Exit
67.56666666666666,4,red,Entry
67.6,2,blue,Exit
67.63333333333334,3,red,Entry
67.7,1,red,Exit
67.8,2,red,Entry
67.93333333333334,1,red,Entry
67.96666666666667,3,red,Exit
68.0,3,red,Exit
68.03333333333333,3,red,Exit
68.06666666666666,3,red,Exit
68.1,2,red,Exit
68.13333333333334,3,red,Exit
68.16666666666667,4,red,Exit
68.2,3,red,Exit
68.26666666666667,2,red,Exit
68.36666666666666,3,red,Entry
68.4,1,red,Exit
68.6,1,red,Exit
68.63333333333334,4,red,Entry
68.83333333333333,2,red,Entry
68.86666666666666,1,red,Exit
68.9,1,red,Entry
68.93333333333334,4,red,Exit
68.96666666666667,3,red,Exit
69.0,4,red,Entry
69.06666666666666,3,red,Entry
69.1,1,red,Exit
69.13333333333334,2,red,Exit
69.2,1,red,Exit
69.23333333333333,1,red,Exit
69.26666666666667,1,red,Exit
69.3,4,red,Exit
69.33333333333333,1,red,Exit
69.5,4,red,Entry
69.5,2,yellow,Exit
69.53333333333333,3,red,Exit
69.53333333333333,2,yellow,Exit
69.56666666666666,3,red,Exit
69.56666666666666,2,yellow,Exit
69.6,3,red,Exit
69.6,1,yellow,Exit
69.63333333333334,3,red,Exit
69.63333333333334,2,yellow,Exit
69.66666666666667,3,red,Exit
69.66666666666667,2,yellow,Exit
69.7,3,red,Exit
69.7,2,yellow,Exit
69.73333333333333,3,red,Exit
69.73333333333333,2,yellow,Exit
69.76666666666667,3,red,Exit
70.7,1,red,Entry
70.73333333333333,3,red,Entry
70.76666666666667,4,red,Exit
70.8,4,red,Exit
70.83333333333333,4,red,Exit
70.86666666666666,4,red,Exit
70.9,4,red,Exit
70.93333333333334,4,red,Exit
70.93333333333334,2,blue,Entry
70.96666666666667,4,red,Exit
71.06666666666666,1,red,Exit
71.1,1,red,Entry
71.16666666666667,3,red,Exit
71.2,4,red,Entry
71.26666666666667,3,red,Exit
71.3,1,red,Exit
71.36666666666666,1,red,Entry
71.46666666666667,3,red,Entry
71.5,4,red,Exit
71.56666666666666,2,red,Entry
71.6,4,red,Exit
71.63333333333334,4,red,Entry
71.66666666666667,1,red,Exit
71.7,1,red,Exit
71.76666666666667,1,red,Entry
71.86666666666666,2,red,Exit
71.9,2,red,Exit
71.93333333333334,4,red,Exit
71.96666666666667,4,red,Exit
72.0,3,red,Exit
72.03333333333333,4,red,Entry
72.06666666666666,3,red,Entry
72.1,1,red,Exit
72.13333333333334,1,red,Exit
72.16666666666667,1,red,Exit
72.2,3,red,Exit
72.23333333333333,3,red,Exit
72.26666666666667,3,red,Exit
72.3,1,red,Exit
